category_id,category_name,sub-category_id,sub-category_name,req_id,req_description
V1,Plan,V1.1,Security Requirements and Risk Assessment,V1.1.1,"Verify that a documented exception process exists for AI assets or pipeline integrations that cannot meet standard governance requirements, including required compensating controls, time-bounded approval, and mandatory review cadence."
V1,Plan,V1.1,Security Requirements and Risk Assessment,V1.1.2,"Verify that risk acceptance decisions for AI assets are documented with business justification, risk owner sign-off, and a defined expiration date requiring re-evaluation."
V1,Plan,V1.2,Developer Tool Operation,V1.2.1,"Verify that a policy governs which AI coding assistants and AI-powered development tools are approved for use, and that approved tools have documented data handling practices including code transmission scope, training data use restrictions, and retention limitations."
V1,Plan,V1.3,NHI (Non-Human Identity) Governance for AI Agents,V1.3.1,"Verify that all AI agents operating within the SDLC (Software Development Life Cycle) are registered as NHIs (Non-Human Identities) with documented owner, purpose, and approved scope."
V1,Plan,V1.3,NHI (Non-Human Identity) Governance for AI Agents,V1.3.2,Verify that AI agent NHIs (Non-Human Identities) have defined onboarding and offboarding procedures.
V1,Plan,V1.3,NHI (Non-Human Identity) Governance for AI Agents,V1.3.3,Verify that AI agent NHIs (Non-Human Identities) have automated expiration or disablement controls.
V1,Plan,V1.3,NHI (Non-Human Identity) Governance for AI Agents,V1.3.4,Verify that a policy defines maximum allowable permission scopes for AI agent NHIs (Non-Human Identities).
V1,Plan,V1.3,NHI (Non-Human Identity) Governance for AI Agents,V1.3.5,Verify that AI agent NHI (Non-Human Identity) permissions are reviewed on a documented cadence.
V1,Plan,V1.3,NHI (Non-Human Identity) Governance for AI Agents,V1.3.6,Verify that inactive AI agent NHIs (Non-Human Identities) are automatically disabled after a defined inactivity threshold.
V1,Plan,V1.4,AI Asset Discovery and Inventory Governance,V1.4.1,Verify that a documented discovery process exists to identify unauthorized or ungoverned AI tooling within the SDLC (Software Development Life Cycle) and pipeline environment.
V1,Plan,V1.4,AI Asset Discovery and Inventory Governance,V1.4.2,Verify that AI tools and agent frameworks are recorded in an AI asset inventory prior to production pipeline use.
V1,Plan,V1.4,AI Asset Discovery and Inventory Governance,V1.4.3,Verify that model integrations and external model endpoints are recorded in an AI asset inventory prior to production pipeline use.
V1,Plan,V1.4,AI Asset Discovery and Inventory Governance,V1.4.4,Verify that MCP (Model Context Protocol) and tool servers are recorded in an AI asset inventory prior to production pipeline use.
V1,Plan,V1.4,AI Asset Discovery and Inventory Governance,V1.4.5,Verify that retrieval sources used by pipeline-integrated agents are recorded in an AI asset inventory prior to production pipeline use.
V1,Plan,V1.4,AI Asset Discovery and Inventory Governance,V1.4.6,Verify that discovered unapproved AI assets are prevented from production pipeline integration until governance review is completed.
V1,Plan,V1.4,AI Asset Discovery and Inventory Governance,V1.4.7,"Verify that AI asset inventory entries include ownership, risk classification, approved usage scope, and data sensitivity impact."
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.1,"Verify that an AIBOM (AI Bill of Materials) policy defines required scope for models, datasets, prompts, agent frameworks/SDKs (Software Development Kits), tool servers, retrieval sources, and external endpoints."
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.2,Verify that an AIBOM (AI Bill of Materials) policy defines approved schemas/formats and required machine-readable output.
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.3,Verify that an AIBOM (AI Bill of Materials) policy defines mandatory fields and completeness requirements.
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.4,Verify that an AIBOM (AI Bill of Materials) policy defines signing or integrity-protection requirements.
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.5,Verify that an AIBOM (AI Bill of Materials) policy defines retention and access control requirements.
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.6,Verify that each pipeline-integrated AI system/agent has an assigned AIBOM (AI Bill of Materials) owner accountable for accuracy and updates.
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.7,"Verify that documented triggers require AIBOM (AI Bill of Materials) regeneration upon model, dataset, prompt, retrieval source, tool server, framework, or endpoint changes."
V1,Plan,V1.5,AIBOM (AI Bill of Materials) Governance,V1.5.8,Verify that AIBOM (AI Bill of Materials) depth requirements are tiered by AI system criticality classification.
-,-,-,-,-,-
V2,Develop,V2.1,Credential Hygiene,V2.1.1,"Verify that system prompts authored during development are reviewed for embedded secrets, credentials, API keys, and sensitive organizational data prior to being committed to version control."
V2,Develop,V2.2,AI-Assisted Secure Development Controls,V2.2.1,Verify that AI-generated changes cannot bypass mandatory peer review and branch protection controls.
V2,Develop,V2.2,AI-Assisted Secure Development Controls,V2.2.2,Verify that AI-generated source code is subject to automated security analysis prior to merge.
V2,Develop,V2.2,AI-Assisted Secure Development Controls,V2.2.3,Verify that AI-generated source code dependencies are subject to automated vulnerability and license analysis prior to merge.
V2,Develop,V2.2,AI-Assisted Secure Development Controls,V2.2.4,Verify that AI-generated changes are subject to automated secret and credential detection prior to merge.
V2,Develop,V2.2,AI-Assisted Secure Development Controls,V2.2.5,Verify that AI-generated infrastructure-as-code is subject to automated misconfiguration analysis prior to merge or deployment.
V2,Develop,V2.2,AI-Assisted Secure Development Controls,V2.2.6,Verify that AI-generated pipeline definition changes are subject to automated policy validation prior to merge.
V2,Develop,V2.2,AI-Assisted Secure Development Controls,V2.2.7,Verify that AI-generated executable scripts or commands are not executed automatically without deterministic validation controls.
-,-,-,-,-,-
