category_id,category_name,sub-category_id,sub-category_name,req_id,req_description (Final Language),threat_category,incident_anchor,mitigation_effect,risk_if_absent,severity,attack_technique,coverage_type,cicd_top10,nist_80053,nist_ssdf,cwe
V1,Plan,V1.1,Identity and Access Management,V1.1.1,"Verify that accounts used to publish packages require phishing-resistant multi-factor authentication, and that this requirement applies separately to each package",maintainer_compromise,jscrambler;mastra;shai_hulud;axios_openai_cascade,Prevent,"Maintainer account phished, malicious version published to millions",Critical,account takeover via phishing,New,CICD-SEC-2,IA-2;IA-5;SR-6,PO.2;PS.1,CWE-287
V1,Plan,V1.1,Identity and Access Management,V1.1.2,"Verify that no single credential can write to more than one repository, package, or service. Break broad-access credentials into smaller, single-purpose ones",credential_secret_theft,jscrambler;mastra;miasma;shai_hulud;teampcp_cascade,Contain,One stolen token self-replicates across every package it can publish,High,over-scoped token; worm republish,New,CICD-SEC-2,AC-6;SR-3,PO.5,CWE-269
V1,Plan,V1.1,Identity and Access Management,V1.1.3,"Verify that source code repository read access for all identities, including human users and programmatic identities such as service accounts, CI/CD tokens, and bot accounts, is scoped by team or project and is not granted organization-wide by default.",credential_secret_theft,ide_extension_breach;teampcp_cascade,Contain,One compromised identity reads every repo in the org,High,org-wide read via one identity,New,CICD-SEC-2,AC-3;AC-6,PO.5,CWE-732
V1,Plan,V1.1,Identity and Access Management,V1.1.4,"Verify that CI/CD workflow permissions default to read-only at the platform or organization level, and that write permissions are granted only per workflow with documented justification.",credential_secret_theft,teampcp_cascade,Prevent,An over-privileged workflow token is abused to write/publish,High,over-privileged workflow token,New,CICD-SEC-2,AC-6;CM-7,PO.5,CWE-732;CWE-269
V1,Plan,V1.2,Security Requirements and Risk Assessment,V1.2.1,"Verify that build, signing, and publish stages execute on systems that share no administrative accounts, no privileged credentials, and no credential store, so that compromise of one stage does not grant access to the next.",artifact_tampering,teampcp_cascade,Contain,A single stage compromise cascades into full build-to-publish control,High,build/sign/publish share one system,New,CICD-SEC-1,SR-3;CM-5,PS.1;PO.5,CWE-506;CWE-494
V1,Plan,V1.3,Developer Tool Operation,V1.3.1,"Verify that developer tool installations, configuration files, and extension or add-on inventory are monitored for unauthorized changes, and that alerts are routed to a documented response process.",dev_tool_compromise,ide_extension_breach,Detect,"An approved extension trojanized after approval, or an unapproved tool added quietly, persists undetected on developer systems.",High,tool change / inventory drift monitoring,Strengthens,CICD-SEC-8,SI-4;SI-7,PO.4,CWE-778
V1,Plan,V1.3,Developer Tool Operation,V1.3.2,"Verify that runtime communication destinations of installed developer tool extensions and add-ons are governed by a destination allowlist or a documented destination policy with periodic review, and that communication with a destination outside the allowlist or policy triggers an alert.",dev_tool_compromise,ide_extension_breach;sandworm_mode;jscrambler,Detect,A compromised extension exfiltrates credentials and AI-assistant configuration indefinitely because no control watches where developer tools connect.,High,runtime destination governance / tool egress,New,CICD-SEC-8;CICD-SEC-10,AC-4;SC-7;SI-4,PO.4,CWE-778;CWE-829
V1,Plan,V1.3,Developer Tool Operation,V1.3.3,"Verify that IDE extensions are limited to a centrally approved list, pinned to a specific version, and verified by checksum at install and update. Auto-update shall be disabled or allowed only through the same approval and verification process. Any extension outside the approved list, version drift, checksum mismatch, or auto-update path that bypasses these controls shall be considered a failure.",dev_tool_compromise,ide_extension_breach,Prevent,Malicious or auto-updated IDE extension runs with developer privileges,High,malicious/auto-updated IDE extension,Strengthens,CICD-SEC-8,CM-7;CM-11;SI-7,PO.3;PW.6,CWE-829;CWE-494
V1,Plan,V1.3,Developer Tool Operation,V1.3.4,"Verify that developer toolchain execution is isolated from host operating system credentials, configuration files, and network resources through containerized development environments, sandboxed application profiles, or equivalent process-level isolation.",credential_secret_theft,shai_hulud;jscrambler;tasksjacker_polinrider,Contain,"Any code execution inside the toolchain immediately yields host credentials, keys, and AI-assistant sessions.",High,toolchain isolation / sandboxing (pairs with P2),New,CICD-SEC-4;CICD-SEC-6,SC-39;SC-7;CM-7,PO.3;PO.5,CWE-668
V1,Plan,V1.3,Developer Tool Operation,V1.3.5,"Verify that opening a cloned or downloaded repository in a developer tool cannot trigger automatic code execution, including workspace task auto-run, tool activation hooks, and container initialization, until the user has explicitly assigned trust to that workspace.",dev_tool_compromise,tasksjacker_polinrider;drift_protocol,Prevent,"Cloning a repository and opening it in an IDE executes attacker code with no further interaction, the largest active campaign vector in the window.",Critical,workspace trust enforced before repo-open execution,New,CICD-SEC-4,CM-7;SC-18,PW.4;PO.3,CWE-829;CWE-94
